Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.000E-03 2.211E+03 2.210E+03 
2.000E-03 3.026E+02 3.017E+02 
3.000E-03 9.032E+01 8.971E+01 
4.000E-03 3.778E+01 3.732E+01 
5.000E-03 1.912E+01 1.876E+01 
6.000E-03 1.095E+01 1.065E+01 
7.000E-03 6.846E+00 6.601E+00 
8.000E-03 4.576E+00 4.366E+00 
9.000E-03 3.225E+00 3.042E+00 
1.000E-02 2.373E+00 2.211E+00 
1.100E-02 1.811E+00 1.666E+00 
1.200E-02 1.426E+00 1.296E+00 
1.300E-02 1.153E+00 1.035E+00 
1.400E-02 9.551E-01 8.479E-01 
1.500E-02 8.074E-01 7.096E-01 
1.600E-02 6.952E-01 6.056E-01 
1.700E-02 6.084E-01 5.261E-01 
1.800E-02 5.402E-01 4.644E-01 
1.900E-02 4.858E-01 4.159E-01 
2.000E-02 4.420E-01 3.772E-01 
2.100E-02 4.061E-01 3.460E-01 
2.200E-02 3.766E-01 3.207E-01 
2.300E-02 3.519E-01 2.998E-01 
2.400E-02 3.312E-01 2.825E-01 
2.500E-02 3.136E-01 2.681E-01 
2.600E-02 2.986E-01 2.559E-01 
2.700E-02 2.857E-01 2.455E-01 
2.800E-02 2.745E-01 2.367E-01 
2.900E-02 2.647E-01 2.291E-01 
3.000E-02 2.562E-01 2.225E-01 
3.100E-02 2.486E-01 2.168E-01 
3.200E-02 2.419E-01 2.118E-01 
3.300E-02 2.360E-01 2.074E-01 
3.400E-02 2.306E-01 2.034E-01 
3.500E-02 2.258E-01 2.000E-01 
3.600E-02 2.215E-01 1.969E-01 
3.700E-02 2.175E-01 1.941E-01 
3.800E-02 2.139E-01 1.915E-01 
3.900E-02 2.107E-01 1.893E-01 
4.000E-02 2.076E-01 1.872E-01 
4.100E-02 2.049E-01 1.853E-01 
4.200E-02 2.023E-01 1.835E-01 
4.300E-02 1.999E-01 1.819E-01 
4.400E-02 1.977E-01 1.805E-01 
4.500E-02 1.957E-01 1.791E-01 
4.600E-02 1.937E-01 1.778E-01 
4.700E-02 1.919E-01 1.766E-01 
4.800E-02 1.902E-01 1.754E-01 
4.900E-02 1.886E-01 1.744E-01 
5.000E-02 1.871E-01 1.734E-01 
5.100E-02 1.856E-01 1.724E-01 
5.200E-02 1.843E-01 1.715E-01 
5.300E-02 1.830E-01 1.706E-01 
5.400E-02 1.817E-01 1.698E-01 
5.500E-02 1.805E-01 1.690E-01 
5.600E-02 1.794E-01 1.683E-01 
5.700E-02 1.783E-01 1.675E-01 
5.800E-02 1.773E-01 1.668E-01 
5.900E-02 1.763E-01 1.662E-01 
6.000E-02 1.753E-01 1.655E-01 
6.100E-02 1.744E-01 1.649E-01 
6.200E-02 1.735E-01 1.643E-01 
6.300E-02 1.726E-01 1.637E-01 
6.400E-02 1.718E-01 1.631E-01 
6.500E-02 1.710E-01 1.625E-01 
6.600E-02 1.702E-01 1.620E-01 
6.700E-02 1.694E-01 1.614E-01 
6.800E-02 1.687E-01 1.609E-01 
6.900E-02 1.679E-01 1.604E-01 
7.000E-02 1.672E-01 1.599E-01 
7.100E-02 1.666E-01 1.594E-01 
7.200E-02 1.659E-01 1.589E-01 
7.300E-02 1.652E-01 1.584E-01 
7.400E-02 1.646E-01 1.580E-01 
7.500E-02 1.640E-01 1.575E-01 
7.600E-02 1.633E-01 1.570E-01 
7.700E-02 1.627E-01 1.566E-01 
7.800E-02 1.621E-01 1.562E-01 
7.900E-02 1.616E-01 1.557E-01 
